model,attack_type,n_samples,accuracy,precision,recall,f1,seconds
Word2Vec-c+LR,I,3876,0.8846749226006192,0.8450528935905414,0.8727506426735219,0.8586784698071451,0.01203929999974207
Word2Vec-c+LR,J,3879,0.8847641144624904,0.8451492537313433,0.8728323699421965,0.8587677725118483,0.01203929999974207
Word2Vec-c+LR,K,3348,0.9238351254480287,0.8608349900596421,0.9665178571428571,0.9106203995793901,0.01203929999974207
Word2Vec-c+LR,L,3358,0.925253126861227,0.8615688859591298,0.9695845697329377,0.91239092495637,0.01203929999974207
Word2Vec-c+LR,M,3358,0.9032162001191185,0.851063829787234,0.9198813056379822,0.8841354723707665,0.01203929999974207
Word2Vec-c+GBDT,ALL,16102,0.9260961371258228,0.9850504739153888,0.92771608970172,0.9555239946180296,0.18079710000165505
Word2Vec-c+GBDT,Original,3881,0.9141973718113888,0.879727216367018,0.9107830551989731,0.8949858088930936,0.18079710000165505
Word2Vec-c+GBDT,A,3360,0.91875,0.8810198300283286,0.9221645663454411,0.9011227816008692,0.18079710000165505
Word2Vec-c+GBDT,B,3881,0.9154856995619686,0.8800988875154512,0.9139922978177151,0.8967254408060453,0.18079710000165505
Word2Vec-c+GBDT,C,2075,0.9156626506024096,0.8816705336426914,0.9123649459783914,0.8967551622418879,0.18079710000165505
Word2Vec-c+GBDT,D,3881,0.9141973718113888,0.879727216367018,0.9107830551989731,0.8949858088930936,0.18079710000165505
Word2Vec-c+GBDT,E,755,0.9231788079470199,0.8792569659442725,0.9372937293729373,0.9073482428115016,0.18079710000165505
Word2Vec-c+GBDT,F,3348,0.9348864994026285,0.8850889192886456,0.9627976190476191,0.9223093371347113,0.18079710000165505
Word2Vec-c+GBDT,G,2598,0.9241724403387221,0.8852459016393442,0.9319271332694151,0.9079869219990658,0.18079710000165505
Word2Vec-c+GBDT,H,3311,0.9226819691935971,0.8818505338078292,0.9322799097065463,0.9063643013899049,0.18079710000165505
Word2Vec-c+GBDT,I,3876,0.9146026831785345,0.879727216367018,0.9119537275064268,0.895550646891764,0.18079710000165505
Word2Vec-c+GBDT,J,3879,0.91441093065223,0.879727216367018,0.9113680154142582,0.8952681388012619,0.18079710000165505
Word2Vec-c+GBDT,K,3348,0.9423536439665472,0.8917631041524847,0.9747023809523809,0.931389975115535,0.18079710000165505
Word2Vec-c+GBDT,L,3358,0.9401429422275164,0.8914675767918089,0.9688427299703264,0.9285460362602204,0.18079710000165505
Word2Vec-c+GBDT,M,3358,0.9383561643835616,0.8862559241706162,0.9710682492581603,0.9267256637168142,0.18079710000165505
Doc2Vec-c+GBDT,ALL,16102,0.8278474723636815,0.953448133805718,0.8398287248711808,0.8930390492359932,0.17433259999961592
Doc2Vec-c+GBDT,Original,3881,0.7768616335995877,0.6899012074643249,0.806803594351733,0.7437869822485207,0.17433259999961592
Doc2Vec-c+GBDT,A,3360,0.7979166666666667,0.7008393285371702,0.8665678280207562,0.7749419953596288,0.17433259999961592
Doc2Vec-c+GBDT,B,3881,0.8234990981705745,0.7142857142857143,0.9338896020539152,0.8094575799721836,0.17433259999961592
Doc2Vec-c+GBDT,C,2075,0.743132530120482,0.6677852348993288,0.7166866746698679,0.6913723219455703,0.17433259999961592
Doc2Vec-c+GBDT,D,3881,0.7740273125483123,0.6851549755301795,0.8087291399229781,0.7418310273770974,0.17433259999961592
Doc2Vec-c+GBDT,E,755,0.8026490066225166,0.7047872340425532,0.8745874587458746,0.780559646539028,0.17433259999961592
Doc2Vec-c+GBDT,F,3348,0.796594982078853,0.6962699822380106,0.875,0.7754698318496538,0.17433259999961592
Doc2Vec-c+GBDT,G,2598,0.7906081601231717,0.6950742767787333,0.8523489932885906,0.7657192075796727,0.17433259999961592
Doc2Vec-c+GBDT,H,3311,0.7801268498942917,0.6837920489296636,0.8412340105342363,0.7543859649122807,0.17433259999961592
Doc2Vec-c+GBDT,I,3876,0.7897316821465429,0.6912751677852349,0.8605398457583547,0.7666762095619811,0.17433259999961592
Doc2Vec-c+GBDT,J,3879,0.7911832946635731,0.6920308483290488,0.8644829800899165,0.768703597944032,0.17433259999961592
Doc2Vec-c+GBDT,K,3348,0.793010752688172,0.6929460580912863,0.8697916666666666,0.7713625866050808,0.17433259999961592
Doc2Vec-c+GBDT,L,3358,0.7969029184038118,0.698450536352801,0.8694362017804155,0.7746199603436881,0.17433259999961592
Doc2Vec-c+GBDT,M,3358,0.7656343061346039,0.6743318831572406,0.8048961424332344,0.7338518769022658,0.17433259999961592
