model,attack_type,n_samples,accuracy,precision,recall,f1,seconds
Doc2Vec-c+GBDT,Original,3881,0.7629476938933265,0.655458089668616,0.8632862644415917,0.7451523545706371,0.1635193000001891
Doc2Vec-c+GBDT,A,3360,0.7922619047619047,0.6760411032990806,0.9266123054114158,0.7817385866166354,0.1635193000001891
Doc2Vec-c+GBDT,B,3881,0.8204071115691832,0.691418408181414,0.9980744544287549,0.816916206987129,0.1635193000001891
Doc2Vec-c+GBDT,C,2075,0.7518072289156627,0.6552734375,0.8055222088835534,0.7226709746903608,0.1635193000001891
Doc2Vec-c+GBDT,D,3881,0.7577943828910074,0.6514705882352941,0.8530166880616175,0.7387437465258477,0.1635193000001891
Doc2Vec-c+GBDT,E,755,0.7735099337748345,0.6601941747572816,0.8976897689768977,0.7608391608391608,0.1635193000001891
Doc2Vec-c+GBDT,F,3348,0.7900238948626045,0.6785515320334262,0.90625,0.7760433258999682,0.1635193000001891
Doc2Vec-c+GBDT,G,2598,0.7813702848344881,0.6695217701641685,0.8993288590604027,0.7675941080196399,0.1635193000001891
Doc2Vec-c+GBDT,H,3311,0.7746904258532166,0.6651558073654391,0.8833709556057185,0.7588881706528765,0.1635193000001891
Doc2Vec-c+GBDT,I,3876,0.7848297213622291,0.6709280303030303,0.9106683804627249,0.7726281352235551,0.1635193000001891
Doc2Vec-c+GBDT,J,3879,0.7824181490074762,0.6658911121451838,0.9190751445086706,0.7722611980572045,0.1635193000001891
Doc2Vec-c+GBDT,K,3348,0.7735961768219832,0.6649774774774775,0.8787202380952381,0.757051282051282,0.1635193000001891
Doc2Vec-c+GBDT,L,3358,0.769803454437165,0.6575342465753424,0.8902077151335311,0.7563819728963126,0.1635193000001891
Doc2Vec-c+GBDT,M,3358,0.7072662298987492,0.6147077309868008,0.7255192878338279,0.6655324940455938,0.1635193000001891
